Epoch 1: Loss=0.5192, Test Accuracy=85.91%
Epoch 52: Loss=0.1011, Test Accuracy=89.72%
Epoch 53: Loss=0.0995, Test Accuracy=90.52%
Epoch 54: Loss=0.0931, Test Accuracy=89.59%
Epoch 55: Loss=0.1016, Test Accuracy=89.60%
Epoch 56: Loss=0.0934, Test Accuracy=89.70%
Epoch 57: Loss=0.0990, Test Accuracy=90.16%
Epoch 58: Loss=0.0996, Test Accuracy=89.50%
Epoch 59: Loss=0.0903, Test Accuracy=89.73%
Epoch 60: Loss=0.0897, Test Accuracy=89.07%
Epoch 61: Loss=0.1004, Test Accuracy=89.69%
Epoch 62: Loss=0.0891, Test Accuracy=90.27%
Epoch 63: Loss=0.0926, Test Accuracy=90.48%
Epoch 64: Loss=0.0932, Test Accuracy=89.63%
Epoch 65: Loss=0.0930, Test Accuracy=90.08%
Epoch 66: Loss=0.0919, Test Accuracy=89.79%
Epoch 67: Loss=0.0937, Test Accuracy=89.74%
Epoch 68: Loss=0.0924, Test Accuracy=89.98%
Epoch 69: Loss=0.0893, Test Accuracy=89.46%
Epoch 70: Loss=0.0941, Test Accuracy=90.01%
Epoch 71: Loss=0.0942, Test Accuracy=88.42%
Epoch 72: Loss=0.0947, Test Accuracy=89.35%
Epoch 73: Loss=0.0894, Test Accuracy=89.91%
Epoch 74: Loss=0.0905, Test Accuracy=90.27%
Epoch 75: Loss=0.0917, Test Accuracy=89.90%
Epoch 76: Loss=0.0886, Test Accuracy=89.41%
Epoch 77: Loss=0.0891, Test Accuracy=90.02%
Epoch 78: Loss=0.0881, Test Accuracy=89.86%
Epoch 79: Loss=0.0899, Test Accuracy=89.60%
Epoch 80: Loss=0.0911, Test Accuracy=90.51%
Epoch 81: Loss=0.0838, Test Accuracy=90.09%
Epoch 82: Loss=0.0886, Test Accuracy=89.93%
Epoch 83: Loss=0.0879, Test Accuracy=90.56%
Epoch 84: Loss=0.0887, Test Accuracy=90.39%
Epoch 85: Loss=0.0866, Test Accuracy=89.98%
Epoch 86: Loss=0.0903, Test Accuracy=89.35%
Epoch 87: Loss=0.0855, Test Accuracy=90.22%
Epoch 88: Loss=0.0857, Test Accuracy=90.32%
Epoch 89: Loss=0.0836, Test Accuracy=89.05%
Epoch 90: Loss=0.0914, Test Accuracy=89.47%
Epoch 91: Loss=0.0860, Test Accuracy=89.75%
Epoch 92: Loss=0.0893, Test Accuracy=89.83%
Epoch 93: Loss=0.0863, Test Accuracy=90.15%
Epoch 94: Loss=0.0904, Test Accuracy=90.08%
Epoch 95: Loss=0.0836, Test Accuracy=89.67%
Epoch 96: Loss=0.0845, Test Accuracy=89.57%
Epoch 97: Loss=0.0843, Test Accuracy=89.93%
Epoch 98: Loss=0.0846, Test Accuracy=90.48%
Epoch 99: Loss=0.0874, Test Accuracy=90.34%
Epoch 100: Loss=0.0855, Test Accuracy=89.94%
Epoch 101: Loss=0.0861, Test Accuracy=89.31%
Epoch 102: Loss=0.0871, Test Accuracy=90.63%
Epoch 103: Loss=0.0814, Test Accuracy=89.92%
Epoch 104: Loss=0.0839, Test Accuracy=90.12%
Epoch 105: Loss=0.0869, Test Accuracy=89.68%
Epoch 106: Loss=0.0798, Test Accuracy=89.41%
Epoch 107: Loss=0.0816, Test Accuracy=90.05%
Epoch 108: Loss=0.0872, Test Accuracy=88.77%
Epoch 109: Loss=0.0876, Test Accuracy=89.39%
Epoch 110: Loss=0.0841, Test Accuracy=89.63%
Epoch 111: Loss=0.0854, Test Accuracy=89.99%
Epoch 112: Loss=0.0818, Test Accuracy=90.04%
Epoch 113: Loss=0.0821, Test Accuracy=89.27%
Epoch 114: Loss=0.0810, Test Accuracy=89.91%
Epoch 115: Loss=0.0867, Test Accuracy=90.28%
Epoch 116: Loss=0.0850, Test Accuracy=90.42%
Epoch 117: Loss=0.0802, Test Accuracy=89.96%
Epoch 118: Loss=0.0848, Test Accuracy=90.24%
Epoch 119: Loss=0.0866, Test Accuracy=90.33%
Epoch 120: Loss=0.0878, Test Accuracy=89.62%
Epoch 121: Loss=0.0825, Test Accuracy=89.66%
Epoch 122: Loss=0.0828, Test Accuracy=89.96%
Epoch 123: Loss=0.0791, Test Accuracy=89.96%
Epoch 124: Loss=0.0822, Test Accuracy=89.32%
Epoch 125: Loss=0.0857, Test Accuracy=88.95%
Epoch 126: Loss=0.0762, Test Accuracy=90.12%
Epoch 127: Loss=0.0835, Test Accuracy=90.07%
Epoch 128: Loss=0.0837, Test Accuracy=90.89%
Epoch 129: Loss=0.0797, Test Accuracy=90.21%
Epoch 130: Loss=0.0810, Test Accuracy=89.80%
Epoch 131: Loss=0.0842, Test Accuracy=89.63%
Epoch 132: Loss=0.0815, Test Accuracy=90.03%
Epoch 133: Loss=0.0870, Test Accuracy=89.50%
Epoch 134: Loss=0.0820, Test Accuracy=89.72%
Epoch 135: Loss=0.0801, Test Accuracy=89.32%
Epoch 136: Loss=0.0807, Test Accuracy=90.15%
Epoch 137: Loss=0.0800, Test Accuracy=89.53%
Epoch 138: Loss=0.0822, Test Accuracy=90.03%
Epoch 139: Loss=0.0817, Test Accuracy=89.83%
Epoch 140: Loss=0.0852, Test Accuracy=89.43%
Epoch 141: Loss=0.0808, Test Accuracy=89.98%
Epoch 142: Loss=0.0777, Test Accuracy=89.75%
Epoch 143: Loss=0.0831, Test Accuracy=89.49%
Epoch 144: Loss=0.0786, Test Accuracy=90.24%
Epoch 145: Loss=0.0787, Test Accuracy=89.58%
Epoch 146: Loss=0.0808, Test Accuracy=89.63%
Epoch 147: Loss=0.0841, Test Accuracy=89.45%
Epoch 148: Loss=0.0838, Test Accuracy=89.56%
Epoch 149: Loss=0.0826, Test Accuracy=89.43%
Epoch 150: Loss=0.0779, Test Accuracy=89.08%
Epoch 151: Loss=0.0803, Test Accuracy=89.78%
Epoch 152: Loss=0.0829, Test Accuracy=90.00%
Epoch 153: Loss=0.0790, Test Accuracy=89.22%
Epoch 154: Loss=0.0794, Test Accuracy=89.44%
Epoch 155: Loss=0.0841, Test Accuracy=90.32%
Epoch 156: Loss=0.0743, Test Accuracy=89.44%
Epoch 157: Loss=0.0808, Test Accuracy=90.07%
Epoch 158: Loss=0.0822, Test Accuracy=89.96%
Epoch 159: Loss=0.0819, Test Accuracy=89.51%
Epoch 160: Loss=0.0793, Test Accuracy=89.67%
Epoch 161: Loss=0.0826, Test Accuracy=89.86%
Epoch 162: Loss=0.0782, Test Accuracy=90.16%
Epoch 163: Loss=0.0888, Test Accuracy=90.53%
Epoch 164: Loss=0.0765, Test Accuracy=89.33%
Epoch 165: Loss=0.0823, Test Accuracy=89.84%
Epoch 166: Loss=0.0783, Test Accuracy=89.19%
Epoch 167: Loss=0.0743, Test Accuracy=90.30%
Epoch 168: Loss=0.0892, Test Accuracy=89.71%
Epoch 169: Loss=0.0801, Test Accuracy=90.09%
Epoch 170: Loss=0.0707, Test Accuracy=89.55%
Epoch 171: Loss=0.0801, Test Accuracy=89.58%
Epoch 172: Loss=0.0806, Test Accuracy=89.88%
Epoch 173: Loss=0.0784, Test Accuracy=89.61%
Epoch 174: Loss=0.0785, Test Accuracy=89.89%
Epoch 175: Loss=0.0803, Test Accuracy=90.30%
Epoch 176: Loss=0.0827, Test Accuracy=89.50%
Epoch 177: Loss=0.0786, Test Accuracy=89.42%
Epoch 178: Loss=0.0816, Test Accuracy=90.31%
Epoch 179: Loss=0.0756, Test Accuracy=89.94%
Epoch 180: Loss=0.0797, Test Accuracy=89.44%
Epoch 181: Loss=0.0834, Test Accuracy=90.33%
Epoch 182: Loss=0.0772, Test Accuracy=89.75%
Epoch 183: Loss=0.0813, Test Accuracy=90.25%
Epoch 184: Loss=0.0778, Test Accuracy=89.30%
Epoch 185: Loss=0.0800, Test Accuracy=89.91%
Epoch 186: Loss=0.0762, Test Accuracy=89.56%
Epoch 187: Loss=0.0811, Test Accuracy=89.52%
Epoch 188: Loss=0.0812, Test Accuracy=89.35%
Epoch 189: Loss=0.0822, Test Accuracy=89.81%
Epoch 190: Loss=0.0797, Test Accuracy=88.97%
Epoch 191: Loss=0.0826, Test Accuracy=90.03%
Epoch 192: Loss=0.0770, Test Accuracy=89.66%
Epoch 193: Loss=0.0750, Test Accuracy=89.34%
Epoch 194: Loss=0.0782, Test Accuracy=90.11%
Epoch 195: Loss=0.0744, Test Accuracy=89.84%
Epoch 196: Loss=0.0780, Test Accuracy=89.66%
Epoch 197: Loss=0.0858, Test Accuracy=89.00%
Epoch 198: Loss=0.0744, Test Accuracy=89.80%
Epoch 199: Loss=0.0829, Test Accuracy=90.05%
Epoch 200: Loss=0.0778, Test Accuracy=89.49%
Epoch 201: Loss=0.0764, Test Accuracy=90.01%
Epoch 202: Loss=0.0794, Test Accuracy=90.13%
Epoch 203: Loss=0.0787, Test Accuracy=90.50%
Epoch 204: Loss=0.0849, Test Accuracy=90.00%
Epoch 205: Loss=0.0784, Test Accuracy=90.15%
Epoch 206: Loss=0.0792, Test Accuracy=90.21%
Epoch 207: Loss=0.0763, Test Accuracy=90.37%
Epoch 208: Loss=0.0837, Test Accuracy=89.77%
Epoch 209: Loss=0.0737, Test Accuracy=90.05%
Epoch 210: Loss=0.0750, Test Accuracy=89.89%
Epoch 211: Loss=0.0783, Test Accuracy=89.38%
Epoch 212: Loss=0.0771, Test Accuracy=89.48%
Epoch 213: Loss=0.0840, Test Accuracy=89.53%
Epoch 214: Loss=0.0778, Test Accuracy=89.81%
Epoch 215: Loss=0.0780, Test Accuracy=89.75%
Epoch 216: Loss=0.0778, Test Accuracy=89.64%
Epoch 217: Loss=0.0816, Test Accuracy=90.15%
Epoch 218: Loss=0.0783, Test Accuracy=89.45%
Epoch 219: Loss=0.0804, Test Accuracy=89.76%
Epoch 220: Loss=0.0772, Test Accuracy=89.64%
Epoch 221: Loss=0.0783, Test Accuracy=89.88%
Epoch 222: Loss=0.0791, Test Accuracy=89.24%
Epoch 223: Loss=0.0757, Test Accuracy=89.83%
Epoch 224: Loss=0.0743, Test Accuracy=89.82%
Epoch 225: Loss=0.0782, Test Accuracy=89.67%
Epoch 226: Loss=0.0791, Test Accuracy=89.60%
Epoch 227: Loss=0.0745, Test Accuracy=90.21%
Epoch 228: Loss=0.0757, Test Accuracy=89.02%
Epoch 229: Loss=0.0732, Test Accuracy=90.21%
Epoch 230: Loss=0.0758, Test Accuracy=89.84%
Epoch 231: Loss=0.0772, Test Accuracy=90.06%
Epoch 232: Loss=0.0815, Test Accuracy=89.67%
Epoch 233: Loss=0.0785, Test Accuracy=90.09%
Epoch 234: Loss=0.0787, Test Accuracy=89.51%
Epoch 235: Loss=0.0800, Test Accuracy=89.94%
Epoch 236: Loss=0.0752, Test Accuracy=89.00%
Epoch 237: Loss=0.0754, Test Accuracy=89.43%
Epoch 238: Loss=0.0795, Test Accuracy=90.39%
Epoch 239: Loss=0.0774, Test Accuracy=89.86%
Epoch 240: Loss=0.0800, Test Accuracy=90.02%
Epoch 241: Loss=0.0807, Test Accuracy=90.29%
Epoch 242: Loss=0.0762, Test Accuracy=89.84%
Epoch 243: Loss=0.0818, Test Accuracy=89.90%
Epoch 244: Loss=0.0748, Test Accuracy=89.10%
Epoch 245: Loss=0.0776, Test Accuracy=89.76%
Epoch 246: Loss=0.0786, Test Accuracy=90.41%
Epoch 247: Loss=0.0757, Test Accuracy=89.65%
Epoch 248: Loss=0.0832, Test Accuracy=89.87%
Epoch 249: Loss=0.0756, Test Accuracy=90.09%
Epoch 250: Loss=0.0727, Test Accuracy=90.04%
Epoch 251: Loss=0.0755, Test Accuracy=89.04%
Epoch 252: Loss=0.0791, Test Accuracy=89.87%
Epoch 253: Loss=0.0740, Test Accuracy=89.41%
Epoch 254: Loss=0.0786, Test Accuracy=89.35%
Epoch 255: Loss=0.0845, Test Accuracy=90.35%
Epoch 256: Loss=0.0720, Test Accuracy=89.79%
Epoch 257: Loss=0.0767, Test Accuracy=89.59%
Epoch 258: Loss=0.0745, Test Accuracy=89.41%
Epoch 259: Loss=0.0827, Test Accuracy=89.84%
Epoch 260: Loss=0.0787, Test Accuracy=89.76%
Epoch 261: Loss=0.0780, Test Accuracy=90.14%
Epoch 262: Loss=0.0789, Test Accuracy=89.92%
Epoch 263: Loss=0.0759, Test Accuracy=90.00%
Epoch 264: Loss=0.0793, Test Accuracy=89.33%
Epoch 265: Loss=0.0742, Test Accuracy=89.87%
Epoch 266: Loss=0.0784, Test Accuracy=89.24%
Epoch 267: Loss=0.0752, Test Accuracy=89.68%
Epoch 268: Loss=0.0797, Test Accuracy=89.66%
Epoch 269: Loss=0.0798, Test Accuracy=89.91%
Epoch 270: Loss=0.0754, Test Accuracy=89.66%
Epoch 271: Loss=0.0693, Test Accuracy=89.73%
Epoch 272: Loss=0.0802, Test Accuracy=89.64%
Epoch 273: Loss=0.0804, Test Accuracy=89.84%
Epoch 274: Loss=0.0728, Test Accuracy=89.77%
Epoch 275: Loss=0.0756, Test Accuracy=89.70%
Epoch 276: Loss=0.0773, Test Accuracy=90.03%
Epoch 277: Loss=0.0801, Test Accuracy=89.70%
Epoch 278: Loss=0.0729, Test Accuracy=89.55%
Epoch 279: Loss=0.0794, Test Accuracy=89.92%
Epoch 280: Loss=0.0753, Test Accuracy=89.85%
Epoch 281: Loss=0.0787, Test Accuracy=89.96%
Epoch 282: Loss=0.0787, Test Accuracy=89.67%
Epoch 283: Loss=0.0771, Test Accuracy=89.96%
Epoch 284: Loss=0.0788, Test Accuracy=90.25%
Epoch 285: Loss=0.0734, Test Accuracy=90.10%
Epoch 286: Loss=0.0743, Test Accuracy=90.05%
Epoch 287: Loss=0.0790, Test Accuracy=89.15%
Epoch 288: Loss=0.0734, Test Accuracy=89.82%
Epoch 289: Loss=0.0794, Test Accuracy=87.84%
Epoch 290: Loss=0.0788, Test Accuracy=90.00%
Epoch 291: Loss=0.0732, Test Accuracy=90.03%
Epoch 292: Loss=0.0783, Test Accuracy=89.67%
Epoch 293: Loss=0.0748, Test Accuracy=89.85%
Epoch 294: Loss=0.0794, Test Accuracy=89.71%
Epoch 295: Loss=0.0780, Test Accuracy=89.12%
Epoch 296: Loss=0.0796, Test Accuracy=89.68%
Epoch 297: Loss=0.0787, Test Accuracy=89.56%
Epoch 298: Loss=0.0775, Test Accuracy=89.75%
Epoch 299: Loss=0.0787, Test Accuracy=89.87%
Epoch 300: Loss=0.0757, Test Accuracy=90.13%
Epoch 301: Loss=0.0787, Test Accuracy=89.01%
Epoch 302: Loss=0.0749, Test Accuracy=88.99%
Epoch 303: Loss=0.0741, Test Accuracy=89.50%
Epoch 304: Loss=0.0739, Test Accuracy=90.35%
Epoch 305: Loss=0.0744, Test Accuracy=89.82%
Epoch 306: Loss=0.0771, Test Accuracy=89.94%
Epoch 307: Loss=0.0798, Test Accuracy=89.94%
Epoch 308: Loss=0.0798, Test Accuracy=89.44%
Epoch 309: Loss=0.0750, Test Accuracy=90.04%
Epoch 310: Loss=0.0807, Test Accuracy=89.83%
Epoch 311: Loss=0.0744, Test Accuracy=89.83%
Epoch 312: Loss=0.0741, Test Accuracy=89.75%
Epoch 313: Loss=0.0800, Test Accuracy=89.69%
Epoch 314: Loss=0.0809, Test Accuracy=89.78%
Epoch 315: Loss=0.0731, Test Accuracy=88.69%
Epoch 316: Loss=0.0779, Test Accuracy=90.33%
Epoch 317: Loss=0.0746, Test Accuracy=89.15%
Epoch 318: Loss=0.0763, Test Accuracy=90.01%
Epoch 319: Loss=0.0783, Test Accuracy=89.87%
Epoch 320: Loss=0.0739, Test Accuracy=88.18%
Epoch 321: Loss=0.0766, Test Accuracy=89.94%
Epoch 322: Loss=0.0785, Test Accuracy=89.90%
Epoch 323: Loss=0.0729, Test Accuracy=89.40%
Epoch 324: Loss=0.0758, Test Accuracy=90.45%
Epoch 325: Loss=0.0746, Test Accuracy=89.65%
Epoch 326: Loss=0.0788, Test Accuracy=89.17%
Epoch 327: Loss=0.0791, Test Accuracy=89.76%
Epoch 328: Loss=0.0759, Test Accuracy=90.47%
Epoch 329: Loss=0.0743, Test Accuracy=88.94%
Epoch 330: Loss=0.0772, Test Accuracy=89.63%
Epoch 331: Loss=0.0770, Test Accuracy=89.24%
Epoch 332: Loss=0.0787, Test Accuracy=89.76%
Epoch 333: Loss=0.0756, Test Accuracy=89.99%
Epoch 334: Loss=0.0803, Test Accuracy=89.56%
Epoch 335: Loss=0.0738, Test Accuracy=89.31%
Epoch 336: Loss=0.0755, Test Accuracy=89.58%
Epoch 337: Loss=0.0779, Test Accuracy=89.88%
Epoch 338: Loss=0.0763, Test Accuracy=90.40%
Epoch 339: Loss=0.0760, Test Accuracy=89.32%
Epoch 340: Loss=0.0755, Test Accuracy=89.42%
Epoch 341: Loss=0.0770, Test Accuracy=89.60%
Epoch 342: Loss=0.0827, Test Accuracy=89.82%
Epoch 343: Loss=0.0752, Test Accuracy=90.00%
Epoch 344: Loss=0.0718, Test Accuracy=88.69%
Epoch 345: Loss=0.0761, Test Accuracy=90.52%
Epoch 346: Loss=0.0721, Test Accuracy=88.78%
Epoch 347: Loss=0.0739, Test Accuracy=89.60%
Epoch 348: Loss=0.0732, Test Accuracy=89.34%
Epoch 349: Loss=0.0781, Test Accuracy=89.47%
Epoch 350: Loss=0.0798, Test Accuracy=90.05%
Epoch 351: Loss=0.0774, Test Accuracy=89.67%
Epoch 352: Loss=0.0726, Test Accuracy=89.49%
Epoch 353: Loss=0.0786, Test Accuracy=90.29%
Epoch 354: Loss=0.0725, Test Accuracy=89.85%
Epoch 355: Loss=0.0781, Test Accuracy=90.08%
Epoch 356: Loss=0.0781, Test Accuracy=89.72%
Epoch 357: Loss=0.0793, Test Accuracy=90.21%
Epoch 358: Loss=0.0751, Test Accuracy=90.14%
Epoch 359: Loss=0.0774, Test Accuracy=89.28%
Epoch 360: Loss=0.0779, Test Accuracy=89.13%
Epoch 361: Loss=0.0756, Test Accuracy=88.84%
Epoch 362: Loss=0.0737, Test Accuracy=89.66%
Epoch 363: Loss=0.0766, Test Accuracy=89.06%
Epoch 364: Loss=0.0733, Test Accuracy=88.94%
Epoch 365: Loss=0.0801, Test Accuracy=89.85%
Epoch 366: Loss=0.0738, Test Accuracy=89.50%
Epoch 367: Loss=0.0773, Test Accuracy=89.54%
Epoch 368: Loss=0.0734, Test Accuracy=90.51%
Epoch 369: Loss=0.0744, Test Accuracy=90.16%
Epoch 370: Loss=0.0767, Test Accuracy=89.14%
Epoch 371: Loss=0.0729, Test Accuracy=89.66%
Epoch 372: Loss=0.0795, Test Accuracy=89.23%
Epoch 373: Loss=0.0782, Test Accuracy=88.87%
Epoch 374: Loss=0.0753, Test Accuracy=90.37%
Epoch 375: Loss=0.0753, Test Accuracy=89.95%
Epoch 376: Loss=0.0747, Test Accuracy=89.31%
Epoch 377: Loss=0.0725, Test Accuracy=89.40%
Epoch 378: Loss=0.0785, Test Accuracy=89.79%
Epoch 379: Loss=0.0736, Test Accuracy=89.23%
Epoch 380: Loss=0.0776, Test Accuracy=90.13%
Epoch 381: Loss=0.0732, Test Accuracy=90.21%
Epoch 382: Loss=0.0808, Test Accuracy=89.53%
Epoch 383: Loss=0.0738, Test Accuracy=90.16%
Epoch 384: Loss=0.0772, Test Accuracy=88.60%
Epoch 385: Loss=0.0780, Test Accuracy=90.26%
Epoch 386: Loss=0.0736, Test Accuracy=89.21%
Epoch 387: Loss=0.0743, Test Accuracy=90.09%
Epoch 388: Loss=0.0763, Test Accuracy=90.18%
Epoch 389: Loss=0.0777, Test Accuracy=89.68%
Epoch 390: Loss=0.0746, Test Accuracy=89.57%
Epoch 391: Loss=0.0729, Test Accuracy=89.78%
Epoch 392: Loss=0.0740, Test Accuracy=89.35%
Epoch 393: Loss=0.0770, Test Accuracy=89.35%
Epoch 394: Loss=0.0745, Test Accuracy=89.85%
Epoch 395: Loss=0.0771, Test Accuracy=89.92%
Epoch 396: Loss=0.0752, Test Accuracy=89.89%
Epoch 397: Loss=0.0767, Test Accuracy=89.89%
Epoch 398: Loss=0.0736, Test Accuracy=89.13%
Epoch 399: Loss=0.0799, Test Accuracy=89.34%
Epoch 400: Loss=0.0743, Test Accuracy=89.72%
Epoch 401: Loss=0.0775, Test Accuracy=89.64%
Epoch 402: Loss=0.0739, Test Accuracy=89.80%
Epoch 403: Loss=0.0770, Test Accuracy=89.20%
Epoch 404: Loss=0.0757, Test Accuracy=89.47%
Epoch 405: Loss=0.0747, Test Accuracy=89.08%
Epoch 406: Loss=0.0782, Test Accuracy=89.67%
Epoch 407: Loss=0.0759, Test Accuracy=89.73%
Epoch 408: Loss=0.0713, Test Accuracy=89.81%
Epoch 409: Loss=0.0750, Test Accuracy=89.42%
Epoch 410: Loss=0.0772, Test Accuracy=90.42%
Epoch 411: Loss=0.0723, Test Accuracy=89.64%
Epoch 412: Loss=0.0743, Test Accuracy=90.12%
Epoch 413: Loss=0.0783, Test Accuracy=89.37%
Epoch 414: Loss=0.0793, Test Accuracy=89.37%
Epoch 415: Loss=0.0707, Test Accuracy=88.45%
Epoch 416: Loss=0.0778, Test Accuracy=89.25%
Epoch 417: Loss=0.0749, Test Accuracy=89.86%
Epoch 418: Loss=0.0713, Test Accuracy=89.96%
Epoch 419: Loss=0.0738, Test Accuracy=89.43%
Epoch 420: Loss=0.0778, Test Accuracy=89.29%
Epoch 421: Loss=0.0759, Test Accuracy=89.06%
Epoch 422: Loss=0.0810, Test Accuracy=89.52%
Epoch 423: Loss=0.0781, Test Accuracy=89.82%
Epoch 424: Loss=0.0752, Test Accuracy=89.91%
Epoch 425: Loss=0.0752, Test Accuracy=90.28%
Epoch 426: Loss=0.0744, Test Accuracy=89.73%
Epoch 427: Loss=0.0750, Test Accuracy=89.86%
Epoch 428: Loss=0.0770, Test Accuracy=89.18%
Epoch 429: Loss=0.0747, Test Accuracy=89.25%
Epoch 430: Loss=0.0800, Test Accuracy=89.59%
Epoch 431: Loss=0.0750, Test Accuracy=89.65%
Epoch 432: Loss=0.0753, Test Accuracy=89.97%
Epoch 433: Loss=0.0748, Test Accuracy=90.23%
Epoch 434: Loss=0.0722, Test Accuracy=89.94%
Epoch 435: Loss=0.0728, Test Accuracy=89.76%
Epoch 436: Loss=0.0754, Test Accuracy=89.87%
Epoch 437: Loss=0.0739, Test Accuracy=90.19%
Epoch 438: Loss=0.0763, Test Accuracy=89.20%
Epoch 439: Loss=0.0773, Test Accuracy=89.41%
Epoch 440: Loss=0.0780, Test Accuracy=89.61%
Epoch 441: Loss=0.0690, Test Accuracy=89.21%
Epoch 442: Loss=0.0729, Test Accuracy=89.44%
Epoch 443: Loss=0.0813, Test Accuracy=90.01%
Epoch 444: Loss=0.0770, Test Accuracy=89.28%
Epoch 445: Loss=0.0776, Test Accuracy=90.04%
Epoch 446: Loss=0.0771, Test Accuracy=89.95%
Epoch 447: Loss=0.0795, Test Accuracy=89.98%
Epoch 448: Loss=0.0720, Test Accuracy=89.80%
Epoch 449: Loss=0.0778, Test Accuracy=89.81%
Epoch 450: Loss=0.0721, Test Accuracy=89.39%
Epoch 451: Loss=0.0762, Test Accuracy=89.94%
Epoch 452: Loss=0.0723, Test Accuracy=89.93%
Epoch 453: Loss=0.0771, Test Accuracy=88.78%
Epoch 454: Loss=0.0754, Test Accuracy=89.32%
Epoch 455: Loss=0.0800, Test Accuracy=89.70%
Epoch 456: Loss=0.0694, Test Accuracy=90.02%
Epoch 457: Loss=0.0742, Test Accuracy=90.05%
Epoch 458: Loss=0.0738, Test Accuracy=88.68%
Epoch 459: Loss=0.0722, Test Accuracy=89.39%
Epoch 460: Loss=0.0764, Test Accuracy=89.84%
Epoch 461: Loss=0.0731, Test Accuracy=89.08%
Epoch 462: Loss=0.0761, Test Accuracy=90.20%
Epoch 463: Loss=0.0739, Test Accuracy=89.69%
Epoch 464: Loss=0.0710, Test Accuracy=88.93%
Epoch 465: Loss=0.0771, Test Accuracy=89.83%
Epoch 466: Loss=0.0771, Test Accuracy=90.28%
Epoch 467: Loss=0.0750, Test Accuracy=90.01%
Epoch 468: Loss=0.0770, Test Accuracy=89.23%
Epoch 469: Loss=0.0780, Test Accuracy=89.78%
Epoch 470: Loss=0.0739, Test Accuracy=90.33%
Epoch 471: Loss=0.0745, Test Accuracy=89.48%
Epoch 472: Loss=0.0730, Test Accuracy=89.68%
Epoch 473: Loss=0.0770, Test Accuracy=89.12%
Epoch 474: Loss=0.0725, Test Accuracy=89.88%
Epoch 475: Loss=0.0706, Test Accuracy=89.17%
Epoch 476: Loss=0.0786, Test Accuracy=89.77%
Epoch 477: Loss=0.0721, Test Accuracy=89.41%
Epoch 478: Loss=0.0739, Test Accuracy=89.50%
Epoch 479: Loss=0.0746, Test Accuracy=89.98%
Epoch 480: Loss=0.0751, Test Accuracy=89.24%
Epoch 481: Loss=0.0735, Test Accuracy=89.53%
